Index,Time,4ES_1,Time,4ES_2,Time,4ES_3,Time,4ES_4,Time,4PF_1,Time,4PF_2,Time,4PF_3,Time,4PF_4
1,139.571,2509.798,139.571,2529.406,139.571,2529.406,139.571,2529.406,139.571,2529.406,139.571,2529.406,139.571,2529.406,139.571,2529.406
2,139.608,2509.798,139.608,2509.798,139.608,2529.406,139.608,2529.406,139.608,2529.406,139.608,2529.406,139.608,2509.798,139.608,2509.798
3,139.626,2509.798,139.626,2529.406,139.626,2529.406,139.626,2529.406,139.626,2529.406,139.626,2529.406,139.626,2490.19,139.626,2529.406
4,139.645,2509.798,139.645,2509.798,139.645,2509.798,139.645,2529.406,139.645,2529.406,139.645,2529.406,139.645,2509.798,139.645,2529.406
5,139.663,2509.798,139.663,2529.406,139.663,2509.798,139.663,2529.406,139.663,2529.406,139.663,2529.406,139.663,2509.798,139.663,2529.406
6,139.682,2509.798,139.682,2529.406,139.682,2529.406,139.682,2529.406,139.682,2529.406,139.682,2529.406,139.682,2509.798,139.682,2509.798
7,139.7,2509.798,139.7,2529.406,139.7,2529.406,139.7,2529.406,139.7,2529.406,139.7,2529.406,139.7,2509.798,139.7,2529.406
8,139.718,2529.406,139.718,2529.406,139.718,2529.406,139.718,2509.798,139.718,2509.798,139.718,2509.798,139.718,2509.798,139.718,2529.406
9,139.737,2529.406,139.737,2529.406,139.737,2509.798,139.737,2509.798,139.737,2509.798,139.737,2509.798,139.737,2529.406,139.737,2509.798
10,139.755,2509.798,139.755,2529.406,139.755,2529.406,139.755,2529.406,139.755,2529.406,139.755,2529.406,139.755,2509.798,139.755,2529.406
11,139.774,2509.798,139.774,2509.798,139.774,2529.406,139.774,2529.406,139.774,2529.406,139.774,2509.798,139.774,2529.406,139.774,2509.798
12,139.792,2509.798,139.792,2529.406,139.792,2529.406,139.792,2509.798,139.792,2509.798,139.792,2529.406,139.792,2509.798,139.792,2509.798
13,139.811,2509.798,139.811,2529.406,139.811,2529.406,139.811,2529.406,139.811,2509.798,139.811,2529.406,139.811,2509.798,139.811,2529.406
14,139.829,2529.406,139.829,2509.798,139.829,2529.406,139.829,2529.406,139.829,2509.798,139.829,2509.798,139.829,2509.798,139.829,2509.798
15,139.847,2509.798,139.847,2529.406,139.847,2529.406,139.847,2509.798,139.847,2509.798,139.847,2529.406,139.847,2509.798,139.847,2509.798
16,139.866,2509.798,139.866,2529.406,139.866,2529.406,139.866,2529.406,139.866,2509.798,139.866,2509.798,139.866,2509.798,139.866,2509.798
17,139.884,2509.798,139.884,2529.406,139.884,2529.406,139.884,2509.798,139.884,2509.798,139.884,2529.406,139.884,2509.798,139.884,2509.798
18,139.903,2509.798,139.903,2509.798,139.903,2509.798,139.903,2529.406,139.903,2529.406,139.903,2529.406,139.903,2529.406,139.903,2509.798
19,139.921,2509.798,139.921,2529.406,139.921,2529.406,139.921,2509.798,139.921,2529.406,139.921,2529.406,139.921,2509.798,139.921,2509.798
20,139.94,2509.798,139.94,2529.406,139.94,2529.406,139.94,2509.798,139.94,2529.406,139.94,2529.406,139.94,2509.798,139.94,2509.798
21,139.958,2509.798,139.958,2529.406,139.958,2529.406,139.958,2529.406,139.958,2509.798,139.958,2529.406,139.958,2509.798,139.958,2529.406
22,139.977,2509.798,139.977,2509.798,139.977,2509.798,139.977,2509.798,139.977,2529.406,139.977,2529.406,139.977,2509.798,139.977,2509.798
23,139.995,2509.798,139.995,2509.798,139.995,2529.406,139.995,2529.406,139.995,2529.406,139.995,2529.406,139.995,2509.798,139.995,2529.406
24,140.013,2509.798,140.013,2529.406,140.013,2529.406,140.013,2529.406,140.013,2529.406,140.013,2529.406,140.013,2509.798,140.013,2509.798
25,140.032,2509.798,140.032,2529.406,140.032,2529.406,140.032,2509.798,140.032,2529.406,140.032,2529.406,140.032,2509.798,140.032,2509.798
26,140.05,2529.406,140.05,2509.798,140.05,2509.798,140.05,2529.406,140.05,2529.406,140.05,2529.406,140.05,2509.798,140.05,2509.798
27,140.069,2509.798,140.069,2509.798,140.069,2529.406,140.069,2529.406,140.069,2529.406,140.069,2509.798,140.069,2509.798,140.069,2529.406
28,140.087,2509.798,140.087,2529.406,140.087,2529.406,140.087,2529.406,140.087,2529.406,140.087,2509.798,140.087,2509.798,140.087,2509.798
29,140.106,2529.406,140.106,2529.406,140.106,2529.406,140.106,2509.798,140.106,2529.406,140.106,2509.798,140.106,2529.406,140.106,2509.798
30,140.124,2529.406,140.124,2529.406,140.124,2529.406,140.124,2509.798,140.124,2529.406,140.124,2509.798,140.124,2509.798,140.124,2509.798
31,140.142,2509.798,140.142,2509.798,140.142,2529.406,140.142,2529.406,140.142,2529.406,140.142,2529.406,140.142,2509.798,140.142,2509.798
32,140.161,2509.798,140.161,2529.406,140.161,2529.406,140.161,2529.406,140.161,2529.406,140.161,2509.798,140.161,2529.406,140.161,2509.798
33,140.179,2509.798,140.179,2509.798,140.179,2529.406,140.179,2509.798,140.179,2509.798,140.179,2529.406,140.179,2529.406,140.179,2509.798
34,140.198,2509.798,140.198,2529.406,140.198,2509.798,140.198,2529.406,140.198,2509.798,140.198,2529.406,140.198,2529.406,140.198,2509.798
35,140.216,2509.798,140.216,2509.798,140.216,2529.406,140.216,2529.406,140.216,2529.406,140.216,2529.406,140.216,2509.798,140.216,2509.798
36,140.235,2509.798,140.235,2509.798,140.235,2509.798,140.235,2529.406,140.235,2529.406,140.235,2529.406,140.235,2509.798,140.235,2509.798
37,140.253,2509.798,140.253,2529.406,140.253,2529.406,140.253,2529.406,140.253,2529.406,140.253,2529.406,140.253,2509.798,140.253,2529.406
38,140.271,2509.798,140.271,2529.406,140.271,2529.406,140.271,2529.406,140.271,2509.798,140.271,2509.798,140.271,2509.798,140.271,2509.798
39,140.29,2529.406,140.29,2529.406,140.29,2529.406,140.29,2529.406,140.29,2509.798,140.29,2529.406,140.29,2509.798,140.29,2509.798
40,140.308,2509.798,140.308,2509.798,140.308,2529.406,140.308,2529.406,140.308,2529.406,140.308,2509.798,140.308,2509.798,140.308,2509.798
41,140.327,2509.798,140.327,2529.406,140.327,2529.406,140.327,2529.406,140.327,2529.406,140.327,2529.406,140.327,2509.798,140.327,2509.798
42,140.345,2529.406,140.345,2529.406,140.345,2529.406,140.345,2529.406,140.345,2529.406,140.345,2509.798,140.345,2509.798,140.345,2509.798
43,140.364,2509.798,140.364,2529.406,140.364,2509.798,140.364,2529.406,140.364,2529.406,140.364,2529.406,140.364,2529.406,140.364,2509.798
44,140.382,2529.406,140.382,2509.798,140.382,2509.798,140.382,2529.406,140.382,2529.406,140.382,2529.406,140.382,2509.798,140.382,2509.798
45,140.4,2509.798,140.4,2509.798,140.4,2529.406,140.4,2529.406,140.4,2529.406,140.4,2529.406,140.4,2509.798,140.4,2509.798
