Index,Time,4ES_1,4PF_1
1,0.0,2509.798,2529.406
2,0.037,2509.798,2529.406
3,0.055,2509.798,2529.406
4,0.074,2509.798,2529.406
5,0.092,2509.798,2529.406
6,0.111,2509.798,2529.406
7,0.129,2509.798,2529.406
8,0.147,2529.406,2509.798
9,0.166,2529.406,2509.798
10,0.184,2509.798,2529.406
11,0.203,2509.798,2529.406
12,0.221,2509.798,2509.798
13,0.24,2509.798,2509.798
14,0.258,2529.406,2509.798
15,0.276,2509.798,2509.798
16,0.295,2509.798,2509.798
17,0.313,2509.798,2509.798
18,0.332,2509.798,2529.406
19,0.35,2509.798,2529.406
20,0.369,2509.798,2529.406
21,0.387,2509.798,2509.798
22,0.406,2509.798,2529.406
23,0.424,2509.798,2529.406
24,0.442,2509.798,2529.406
25,0.461,2509.798,2529.406
26,0.479,2529.406,2529.406
27,0.498,2509.798,2529.406
28,0.516,2509.798,2529.406
29,0.535,2529.406,2529.406
30,0.553,2529.406,2529.406
31,0.571,2509.798,2529.406
32,0.59,2509.798,2529.406
33,0.608,2509.798,2509.798
34,0.627,2509.798,2509.798
35,0.645,2509.798,2529.406
36,0.664,2509.798,2529.406
37,0.682,2509.798,2529.406
38,0.7,2509.798,2509.798
39,0.719,2529.406,2509.798
40,0.737,2509.798,2529.406
41,0.756,2509.798,2529.406
42,0.774,2529.406,2529.406
43,0.793,2509.798,2529.406
44,0.811,2529.406,2529.406
45,0.829,2509.798,2529.406
46,0.848,2529.406,2529.406
47,0.866,2509.798,2529.406
48,0.885,2509.798,2529.406
49,0.903,2529.406,2529.406
50,0.922,2509.798,2529.406
51,0.94,2509.798,2529.406
52,0.958,2509.798,2509.798
53,0.977,2509.798,2529.406
54,0.995,2509.798,2529.406
55,1.014,2509.798,2529.406
56,1.032,2529.406,2509.798
57,1.051,2529.406,2509.798
58,1.069,2509.798,2529.406
59,1.087,2509.798,2529.406
60,1.106,2529.406,2509.798
61,1.124,2509.798,2509.798
62,1.143,2529.406,2509.798
63,1.161,2509.798,2529.406
64,1.18,2509.798,2529.406
65,1.198,2529.406,2509.798
66,1.217,2509.798,2509.798
67,1.235,2509.798,2529.406
68,1.253,2509.798,2529.406
69,1.272,2509.798,2529.406
70,1.29,2509.798,2509.798
71,1.309,2509.798,2509.798
72,1.327,2509.798,2509.798
73,1.346,2509.798,2509.798
74,1.364,2529.406,2529.406
75,1.382,2509.798,2529.406
76,1.401,2509.798,2529.406
77,1.419,2509.798,2509.798
78,1.438,2529.406,2509.798
79,1.456,2529.406,2529.406
80,1.475,2509.798,2529.406
81,1.493,2509.798,2529.406
82,1.511,2509.798,2509.798
83,1.53,2509.798,2529.406
84,1.548,2509.798,2529.406
85,1.567,2509.798,2529.406
86,1.585,2529.406,2509.798
87,1.604,2509.798,2509.798
88,1.622,2509.798,2509.798
89,1.64,2509.798,2509.798
90,1.659,2509.798,2509.798
91,1.677,2529.406,2509.798
92,1.696,2509.798,2509.798
93,1.714,2509.798,2529.406
94,1.733,2509.798,2529.406
95,1.751,2509.798,2529.406
96,1.769,2509.798,2529.406
97,1.788,2509.798,2509.798
98,1.806,2509.798,2529.406
99,1.825,2509.798,2509.798
100,1.843,2509.798,2509.798
101,1.862,2509.798,2529.406
102,1.88,2509.798,2529.406
103,1.898,2509.798,2529.406
104,1.917,2509.798,2509.798
105,1.935,2509.798,2509.798
106,1.954,2529.406,2529.406
107,1.972,2529.406,2509.798
108,1.991,2529.406,2529.406
109,2.009,2529.406,2509.798
110,2.028,2529.406,2509.798
111,2.046,2509.798,2529.406
112,2.064,2509.798,2529.406
113,2.083,2509.798,2509.798
114,2.101,2529.406,2529.406
115,2.12,2529.406,2529.406
116,2.138,2529.406,2509.798
117,2.157,2509.798,2509.798
118,2.175,2529.406,2509.798
119,2.193,2509.798,2529.406
120,2.212,2509.798,2529.406
121,2.23,2509.798,2509.798
122,2.249,2509.798,2509.798
123,2.267,2509.798,2529.406
124,2.286,2509.798,2529.406
125,2.304,2509.798,2529.406
126,2.322,2509.798,2529.406
127,2.341,2529.406,2509.798
128,2.359,2509.798,2529.406
129,2.378,2509.798,2529.406
130,2.396,2509.798,2509.798
131,2.415,2509.798,2509.798
132,2.433,2509.798,2529.406
133,2.451,2509.798,2529.406
134,2.47,2509.798,2529.406
135,2.488,2509.798,2509.798
136,2.507,2529.406,2509.798
137,2.525,2509.798,2529.406
138,2.544,2509.798,2529.406
139,2.562,2509.798,2529.406
140,2.58,2509.798,2529.406
141,2.599,2529.406,2509.798
142,2.617,2509.798,2529.406
143,2.636,2509.798,2529.406
144,2.654,2509.798,2529.406
145,2.673,2509.798,2509.798
146,2.691,2509.798,2509.798
147,2.71,2529.406,2529.406
148,2.728,2529.406,2529.406
