Index,4ES_1,4ES_2,4ES_3,4ES_4,4PF_1,4PF_2,4PF_3,4PF_4
1,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406
2,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
3,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2490.19,2529.406
4,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406
5,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406
6,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
7,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
8,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2529.406
9,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2529.406,2509.798
10,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
11,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798
12,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
13,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
14,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
15,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
16,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
17,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
18,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798
19,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
20,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
21,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
22,2509.798,2509.798,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
23,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
24,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
25,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
26,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
27,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
28,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
29,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798
30,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
31,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
32,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798
33,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798
34,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798
